#{"t_start": 1775181829.0756, "env_id": "None"}
r,l,t,success,task_phase
-5.128413,73,5.279294,False,TOUCHDOWN
-6.505359,73,5.504517,False,TOUCHDOWN
-16.277087,72,5.51282,False,TOUCHDOWN
-16.268434,79,5.521872,False,TOUCHDOWN
-16.549284,70,5.529887,False,TOUCHDOWN
-15.559435,69,5.537771,False,TOUCHDOWN
-27.109268,67,5.545421,False,TOUCHDOWN
0.164215,71,5.553531,False,TOUCHDOWN
-22.331474,79,5.56253,False,TOUCHDOWN
-28.424295,70,5.570503,False,TOUCHDOWN
-27.606042,73,5.578814,False,TOUCHDOWN
-8.62377,75,5.58734,False,TOUCHDOWN
-25.301131,73,5.595661,False,TOUCHDOWN
-20.854231,67,5.603291,False,TOUCHDOWN
-1.783826,66,5.6108,False,TOUCHDOWN
6.529459,91,5.621152,False,TOUCHDOWN
-10.054792,80,5.630186,False,TOUCHDOWN
-3.363683,85,5.639858,False,TOUCHDOWN
2.780681,71,5.647899,False,TOUCHDOWN
-4.608387,71,5.655931,False,TOUCHDOWN
-17.206284,78,5.664753,False,TOUCHDOWN
-25.083145,73,5.67309,False,TOUCHDOWN
-7.607009,83,5.682492,False,TOUCHDOWN
0.713326,68,5.690228,False,TOUCHDOWN
-20.028168,71,5.698271,False,TOUCHDOWN
-13.770245,85,5.707921,False,TOUCHDOWN
1.223878,74,5.716339,False,TOUCHDOWN
3.949134,84,5.725907,False,TOUCHDOWN
-15.650767,71,5.950259,False,TOUCHDOWN
-2.060177,68,5.958149,False,TOUCHDOWN
-20.876643,90,5.968629,False,TOUCHDOWN
-13.836084,72,5.977227,False,TOUCHDOWN
-20.996255,83,5.986974,False,TOUCHDOWN
0.38349,69,5.995079,False,TOUCHDOWN
-31.966314,89,6.005527,False,TOUCHDOWN
-27.753334,72,6.014008,False,TOUCHDOWN
-5.449311,78,6.023127,False,TOUCHDOWN
3.842787,69,6.03123,False,TOUCHDOWN
-65.54957,156,6.049378,False,TOUCHDOWN
-22.318598,91,6.060048,False,TOUCHDOWN
-25.410561,77,6.069043,False,TOUCHDOWN
-4.500254,74,6.077698,False,TOUCHDOWN
-20.818118,67,6.085556,False,TOUCHDOWN
-29.450343,76,6.09446,False,TOUCHDOWN
-23.05999,77,6.103486,False,TOUCHDOWN
-19.71843,78,6.112631,False,TOUCHDOWN
-14.242573,77,6.12178,False,TOUCHDOWN
9.240083,98,6.133262,False,TOUCHDOWN
-2.419719,128,6.148144,False,TOUCHDOWN
-13.445903,70,6.15636,False,TOUCHDOWN
-10.169893,79,6.165622,False,TOUCHDOWN
-21.858188,94,6.176624,False,TOUCHDOWN
-28.828191,78,6.185748,False,TOUCHDOWN
-22.105423,72,6.414446,False,TOUCHDOWN
-26.100491,70,6.422731,False,TOUCHDOWN
-19.779702,67,6.430625,False,TOUCHDOWN
-33.599847,74,6.43927,False,TOUCHDOWN
-8.599475,81,6.448771,False,TOUCHDOWN
-14.375513,79,6.45797,False,TOUCHDOWN
-17.488798,77,6.466968,False,TOUCHDOWN
-19.636816,74,6.475623,False,TOUCHDOWN
0.563099,84,6.485373,False,TOUCHDOWN
-48.302726,143,6.501997,False,TOUCHDOWN
8.677488,78,6.511166,False,TOUCHDOWN
-13.588139,69,6.519275,False,TOUCHDOWN
-5.451083,81,6.528725,False,TOUCHDOWN
-24.360967,69,6.536724,False,TOUCHDOWN
-13.418078,76,6.545574,False,TOUCHDOWN
-0.479355,70,6.553762,False,TOUCHDOWN
8.311848,74,6.562413,False,TOUCHDOWN
-1.50202,82,6.571898,False,TOUCHDOWN
-7.792261,78,6.580982,False,TOUCHDOWN
-22.474091,85,6.590796,False,TOUCHDOWN
-15.43942,69,6.598827,False,TOUCHDOWN
4.617528,72,6.607227,False,TOUCHDOWN
-38.351337,111,6.62014,False,TOUCHDOWN
-4.926128,76,6.628991,False,TOUCHDOWN
-24.426753,79,6.638439,False,TOUCHDOWN
-13.938607,72,6.647019,False,TOUCHDOWN
-2.309778,69,6.8743,False,TOUCHDOWN
1.113318,93,6.885243,False,TOUCHDOWN
-26.719959,87,6.895408,False,TOUCHDOWN
-4.297707,76,6.904286,False,TOUCHDOWN
-2.968799,70,6.912459,False,TOUCHDOWN
-23.181428,66,6.920348,False,TOUCHDOWN
3.018008,73,6.928838,False,TOUCHDOWN
-12.939175,77,6.93769,False,TOUCHDOWN
-6.108187,71,6.945873,False,TOUCHDOWN
-17.651691,72,6.954161,False,TOUCHDOWN
-14.531447,75,6.962738,False,TOUCHDOWN
-21.752163,73,6.971112,False,TOUCHDOWN
-9.543622,95,6.982008,False,TOUCHDOWN
-31.112374,87,6.991972,False,TOUCHDOWN
-19.846126,76,7.000703,False,TOUCHDOWN
3.669198,70,7.008695,False,TOUCHDOWN
-7.505944,67,7.016395,False,TOUCHDOWN
-11.489543,69,7.02429,False,TOUCHDOWN
-24.56121,76,7.032997,False,TOUCHDOWN
3.91794,73,7.041313,False,TOUCHDOWN
-0.80273,67,7.049058,False,TOUCHDOWN
-22.005684,84,7.058614,False,TOUCHDOWN
-10.962171,69,7.066508,False,TOUCHDOWN
-4.244703,83,7.07597,False,TOUCHDOWN
-20.424312,68,7.083753,False,TOUCHDOWN
-17.666562,67,7.091418,False,TOUCHDOWN
-11.970335,64,7.098798,False,TOUCHDOWN
-27.990877,76,7.324458,False,TOUCHDOWN
-12.63295,64,7.33188,False,TOUCHDOWN
2.973104,82,7.341275,False,TOUCHDOWN
-27.790045,76,7.350163,False,TOUCHDOWN
-3.087733,74,7.359085,False,TOUCHDOWN
-22.32431,73,7.36767,False,TOUCHDOWN
-4.758442,75,7.376511,False,TOUCHDOWN
-17.300008,76,7.38548,False,TOUCHDOWN
-50.437508,152,7.403243,False,TOUCHDOWN
-8.415679,67,7.411177,False,TOUCHDOWN
-4.437694,74,7.419909,False,TOUCHDOWN
-17.721209,69,7.428035,False,TOUCHDOWN
0.831013,77,7.437106,False,TOUCHDOWN
-17.489749,75,7.445928,False,TOUCHDOWN
-2.47929,80,7.455332,False,TOUCHDOWN
-22.915421,73,7.463909,False,TOUCHDOWN
-14.709745,104,7.476007,False,TOUCHDOWN
2.724548,81,7.485515,False,TOUCHDOWN
4.40369,71,7.493838,False,TOUCHDOWN
-8.237262,68,7.50185,False,TOUCHDOWN
-20.027936,71,7.510183,False,TOUCHDOWN
3.09822,69,7.518303,False,TOUCHDOWN
-1.766573,87,7.528512,False,TOUCHDOWN
-20.665679,72,7.536955,False,TOUCHDOWN
-14.8716,68,7.544951,False,TOUCHDOWN
-6.29418,77,7.554004,False,TOUCHDOWN
-12.84803,67,7.785542,False,TOUCHDOWN
-16.164197,71,7.794035,False,TOUCHDOWN
-23.709324,73,7.802571,False,TOUCHDOWN
-12.869196,67,7.810445,False,TOUCHDOWN
3.459926,66,7.818271,False,TOUCHDOWN
-2.613197,69,7.826366,False,TOUCHDOWN
2.973019,78,7.83551,False,TOUCHDOWN
-14.209108,87,7.845716,False,TOUCHDOWN
-4.097447,74,7.854445,False,TOUCHDOWN
-15.103109,73,7.862993,False,TOUCHDOWN
6.286501,71,7.871308,False,TOUCHDOWN
-4.260858,70,7.879456,False,TOUCHDOWN
-3.156474,72,7.887909,False,TOUCHDOWN
-13.85273,71,7.896253,False,TOUCHDOWN
-10.525654,68,7.904214,False,TOUCHDOWN
-11.698979,74,7.912882,False,TOUCHDOWN
-11.680609,69,7.92093,False,TOUCHDOWN
-2.125012,66,7.928611,False,TOUCHDOWN
-15.305598,78,7.93775,False,TOUCHDOWN
-16.931749,79,7.946914,False,TOUCHDOWN
5.648193,77,7.955898,False,TOUCHDOWN
-17.728088,79,7.965073,False,TOUCHDOWN
6.287576,75,7.973823,False,TOUCHDOWN
7.493649,75,7.98258,False,TOUCHDOWN
-10.496404,70,7.990713,False,TOUCHDOWN
-26.074341,70,7.998906,False,TOUCHDOWN
-30.521736,86,8.008889,False,TOUCHDOWN
3.96508,93,8.020011,False,TOUCHDOWN
-24.274035,74,8.245561,False,TOUCHDOWN
-16.66718,75,8.254386,False,TOUCHDOWN
8.562595,78,8.263519,False,TOUCHDOWN
-18.954524,66,8.271301,False,TOUCHDOWN
-9.98506,93,8.282168,False,TOUCHDOWN
-13.571015,74,8.290789,False,TOUCHDOWN
-26.578054,88,8.300992,False,TOUCHDOWN
-0.65671,70,8.3108,False,TOUCHDOWN
-24.387665,81,8.320236,False,TOUCHDOWN
4.343378,67,8.328017,False,TOUCHDOWN
-12.799898,71,8.336234,False,TOUCHDOWN
